44.200.218.251 - - [27/Mar/2024:00:06:40 +0000] "GET /.git/config HTTP/1.1" 200 407 "-" "Opera/9.80 (X11; Linux i686) Presto/2.12.388 Version/12.16"
172.104.210.105 - - [27/Mar/2024:00:09:08 +0000] "GET / HTTP/1.1" 400 264 "-" "Mozilla/5.0 zgrab/0.x"
66.175.213.4 - - [27/Mar/2024:00:09:33 +0000] "GET / HTTP/1.1" 200 407 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET / HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //xmlrpc.php?rsd HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET / HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //blog/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //web/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //website/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //news/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //2018/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //media/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "GET //sito/wp-includes/wlwmanifest.xml HTTP/1.1" 200 714 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
152.42.172.131 - - [27/Mar/2024:00:48:48 +0000] "" 400 0 "-" "-"
43.135.166.178 - - [27/Mar/2024:01:12:11 +0000] "GET / HTTP/1.1" 200 407 "http://jamalabdi.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
161.35.236.158 - - [27/Mar/2024:01:47:35 +0000] "\x00\x0E8%\xC8\x86Z\xF9\xB2\xA3\xA7\x00\x00\x00\x00\x00" 400 166 "-" "-"
167.94.146.56 - - [27/Mar/2024:02:13:08 +0000] "GET / HTTP/1.1" 200 714 "-" "-"
167.94.146.56 - - [27/Mar/2024:02:13:12 +0000] "GET / HTTP/1.1" 200 407 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.56 - - [27/Mar/2024:02:13:13 +0000] "PRI * HTTP/2.0" 400 166 "-" "-"
167.94.146.56 - - [27/Mar/2024:02:13:13 +0000] "GET /favicon.ico HTTP/1.1" 200 15086 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.56 - - [27/Mar/2024:02:13:14 +0000] "GET /logo192.png HTTP/1.1" 200 407 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
145.220.91.19 - - [27/Mar/2024:02:14:36 +0000] "GET / HTTP/1.1" 200 407 "http://jamalabdi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:122.0) Gecko/20100101 Firefox/122.0"
172.104.210.105 - - [27/Mar/2024:02:22:23 +0000] "GET / HTTP/1.1" 400 264 "-" "Mozilla/5.0 zgrab/0.x"
192.155.90.220 - - [27/Mar/2024:02:28:55 +0000] "GET / HTTP/1.1" 200 407 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
104.239.93.248 - - [27/Mar/2024:02:59:30 +0000] "HEAD / HTTP/1.1" 200 0 "http://jamalabdi.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
104.239.93.248 - - [27/Mar/2024:02:59:32 +0000] "GET / HTTP/1.1" 200 407 "http://jamalabdi.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
43.133.66.151 - - [27/Mar/2024:03:06:12 +0000] "GET / HTTP/1.1" 200 407 "http://www.jamalabdi.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
61.82.39.134 - - [27/Mar/2024:03:06:16 +0000] "GET /.env HTTP/1.1" 200 407 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:17 +0000] "GET /static/js/main.63a65573.js HTTP/1.1" 200 280095 "https://jamalabdi.com/.env" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:17 +0000] "GET /static/css/main.42e3af66.css HTTP/1.1" 200 23280 "https://jamalabdi.com/.env" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:18 +0000] "GET /favicon.ico HTTP/1.1" 200 15086 "https://jamalabdi.com/.env" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:19 +0000] "GET /manifest.json HTTP/1.1" 200 492 "https://jamalabdi.com/.env" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:19 +0000] "GET /logo192.png HTTP/1.1" 200 407 "https://jamalabdi.com/.env" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:35 +0000] "GET /static/css/main.42e3af66.css.map HTTP/1.1" 200 58211 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:36 +0000] "GET /static/js/main.63a65573.js.map HTTP/1.1" 200 2598425 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
61.82.39.134 - - [27/Mar/2024:03:06:44 +0000] "GET /.env HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
